"","CodigoPostal","Barrio","TipoPropiedad","TipoAlquiler","MaxOcupantes","NumBanyos","NumDormitorios","NumCamas","TipoCama","Comodidades","PiesCuadrados","Precio","Puntuacion","MetrosCuadrados"
"11015","28037","Hellín","Apartment","Private room",2,1,1,1,"Real Bed","TV,Wireless Internet,Free parking on premises,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,20,94,NA
"11016","28032","Arcos","Bed & Breakfast","Private room",1,1,1,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Breakfast,Elevator in building,Heating,Washer,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,33,100,NA
"11017",NA,"Arcos","Apartment","Private room",2,0.5,1,1,"Real Bed","Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Washer,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,20,88,NA
"11018","28022","Rejas","Apartment","Entire home/apt",3,1,1,1,"Real Bed","TV,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",NA,65,100,NA
"11019","28022","Rejas","Apartment","Private room",2,1.5,1,2,"Real Bed","TV,Wireless Internet,Wheelchair accessible,Pool,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,40,99,NA
"11020","28022","Rejas","Apartment","Entire home/apt",2,1,1,1,"Real Bed","TV,Wireless Internet,Air conditioning,Pool,Kitchen,Free parking on premises,Elevator in building,Heating,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49",NA,75,NA,NA
"11021","28027","Salvador","Apartment","Entire home/apt",4,1,2,1,"Real Bed","TV,Internet,Wireless Internet,Air conditioning,Pool,Kitchen,Pets allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer",NA,75,87,NA
"11022","28027","Salvador","House","Private room",2,1,1,2,"Real Bed","TV,Wireless Internet,Air conditioning,Hot tub,Heating,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50",NA,18,93,NA
"11023","28017","Ventas","Apartment","Private room",1,1,1,1,"Real Bed","TV,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace",NA,14,94,NA
"11024","28017","Ventas","Apartment","Entire home/apt",3,1,2,2,"Real Bed","TV,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo",NA,50,90,NA
